Away Season,Away DVOA Diff Range,Away Count,Away Avg Spread,Away Avg Game Margin,Away EGO,Away Max,Away Min,Away Std Dev,Home Season,Home DVOA Diff Range,Home Count,Home Avg Spread,Home Avg Game Margin,Home EGO,Home Max,Home Min,Home Std Dev
All,-100 to -50,90,13.033333333333333,-10.566666666666666,-16.601723050136567,18,-45,12.800149226658224,All,-100 to -50,114,9.057017543859649,-10.842105263157896,-13.742970711477135,28,-46,14.665943299828257
All,-50 to -40,89,10.741573033707866,-13.067415730337078,-11.011250118463366,34,-59,14.862091612868467,All,-50 to -40,85,5.364705882352941,-4.823529411764706,-7.1955661385048515,38,-38,13.427208048078594
All,-40 to -35,62,9.92741935483871,-13.516129032258064,-9.576251743306821,28,-55,13.084519617564185,All,-40 to -35,77,4.532467532467533,-5.818181818181818,-5.596095137500026,28,-34,11.913865509882164
All,-35 to -30,86,8.029069767441861,-8.546511627906977,-8.61127946159396,45,-40,15.121980088789483,All,-35 to -30,96,3.46875,-6.90625,-4.538087835105308,21,-39,13.560063751596761
All,-30 to -25,109,7.761467889908257,-8.770642201834862,-7.639661821260965,31,-38,15.5090374056685,All,-30 to -25,100,2.995,-2.62,-3.4867258913307233,34,-38,15.316710357045215
All,-25 to -20,107,6.780373831775701,-8.514018691588785,-6.661398822307838,25,-41,12.847703330462291,All,-25 to -20,114,1.8508771929824561,-3.8508771929824563,-2.44200930617627,30,-37,13.44226096141183
All,-20 to -17.5,60,5.858333333333333,-2.95,-5.92334055649853,32,-35,13.919167372331689,All,-20 to -17.5,65,1.7153846153846153,-3.2615384615384615,-1.6628328839048927,22,-30,11.560002328985659
All,-17.5 to -15,55,5.7272727272727275,-5.1454545454545455,-5.429225038056868,26,-34,12.657040467687278,All,-17.5 to -15,79,-0.006329113924050633,0.4177215189873418,-1.1454586102927657,34,-25,12.577562026753782
All,-15 to -12.5,75,4.833333333333333,-6.84,-4.9334481799601715,24,-40,11.536124226193222,All,-15 to -12.5,62,0.7903225806451613,-2.774193548387097,-0.6297456763356721,31,-28,12.318744021084571
All,-12.5 to -10,78,4.6923076923076925,-1.9871794871794872,-4.436009982208442,34,-42,16.029594051250502,All,-12.5 to -10,62,-0.3548387096774194,-1.967741935483871,-0.11569408203361142,27,-37,14.500387492770932
All,-10 to -7.5,71,3.9507042253521125,-2.0422535211267605,-3.93691044480168,29,-31,11.981457840845232,All,-10 to -7.5,72,-0.8194444444444444,-0.6527777777777778,0.39669617261341594,41,-31,13.525312443057134
All,-7.5 to -5,77,3.4805194805194803,-1.5584415584415585,-3.4361495677398843,27,-34,12.467318863515361,All,-7.5 to -5,87,-1.4942528735632183,3.7471264367816093,0.9074250876054102,40,-35,14.61380232488467
All,-5 to -2.5,82,3.2378048780487805,-4.963414634146342,-2.9337273510230557,21,-52,13.101168661424516,All,-5 to -2.5,78,-1.6602564102564104,3.217948717948718,1.416492662942371,43,-30,14.624874234910411
All,-2.5 to 0,77,2.8766233766233764,-0.9090909090909091,-2.429643794651194,34,-37,15.48019262271512,All,-2.5 to 0,88,-1.8693181818181819,2.3068181818181817,1.923898898624299,37,-24,13.965769280592676
All,0 to 2.5,81,1.7901234567901234,-2.506172839506173,-1.923898898624299,24,-35,13.540793419137339,All,0 to 2.5,70,-2.8857142857142857,1.0,2.429643794651194,34,-34,15.202021223355871
All,2.5 to 5,78,1.6602564102564104,-3.217948717948718,-1.416492662942371,30,-43,14.624874234910411,All,2.5 to 5,82,-3.2378048780487805,4.963414634146342,2.9337273510230557,52,-21,13.101168661424516
All,5 to 7.5,87,1.4942528735632183,-3.7471264367816093,-0.90742508760541,35,-40,14.61380232488467,All,5 to 7.5,77,-3.4805194805194803,1.5584415584415585,3.4361495677398843,34,-27,12.467318863515361
All,7.5 to 10,72,0.8194444444444444,0.6527777777777778,-0.3966961726134157,31,-41,13.525312443057134,All,7.5 to 10,71,-3.9507042253521125,2.0422535211267605,3.9369104448016796,31,-29,11.981457840845232
All,10 to 12.5,62,0.3548387096774194,1.967741935483871,0.11569408203361187,37,-27,14.500387492770932,All,10 to 12.5,78,-4.6923076923076925,1.9871794871794872,4.436009982208442,42,-34,16.029594051250502
All,12.5 to 15,62,-0.7903225806451613,2.774193548387097,0.6297456763356726,28,-31,12.318744021084571,All,12.5 to 15,75,-4.833333333333333,6.84,4.9334481799601715,40,-24,11.536124226193222
All,15 to 17.5,79,0.006329113924050633,-0.4177215189873418,1.1454586102927657,25,-34,12.577562026753782,All,15 to 17.5,55,-5.7272727272727275,5.1454545454545455,5.429225038056867,34,-26,12.657040467687278
All,17.5 to 20,65,-1.7153846153846153,3.2615384615384615,1.6628328839048927,30,-22,11.560002328985659,All,17.5 to 20,60,-5.858333333333333,2.95,5.9233405564985295,35,-32,13.919167372331689
All,20 to 25,114,-1.8508771929824561,3.8508771929824563,2.44200930617627,37,-30,13.44226096141183,All,20 to 25,107,-6.780373831775701,8.514018691588785,6.661398822307836,41,-25,12.847703330462291
All,25 to 30,100,-2.995,2.62,3.4867258913307224,38,-34,15.316710357045215,All,25 to 30,109,-7.761467889908257,8.770642201834862,7.6396618212609635,38,-31,15.5090374056685
All,30 to 35,96,-3.46875,6.90625,4.538087835105307,39,-21,13.560063751596761,All,30 to 35,86,-8.029069767441861,8.546511627906977,8.611279461593957,40,-45,15.121980088789483
All,35 to 40,77,-4.532467532467533,5.818181818181818,5.596095137500026,34,-28,11.913865509882164,All,35 to 40,62,-9.92741935483871,13.516129032258064,9.576251743306818,55,-28,13.084519617564185
All,40 to 50,85,-5.364705882352941,4.823529411764706,7.19556613850485,38,-38,13.427208048078594,All,40 to 50,89,-10.741573033707866,13.067415730337078,11.011250118463362,59,-34,14.862091612868467
All,50 to 100,113,-9.013274336283185,10.973451327433628,13.74297071147713,46,-28,14.663767407768294,All,50 to 100,89,-12.882022471910112,10.50561797752809,16.601723050136556,45,-18,12.859488533857029
