Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick
2020,ATL,CAR,8,Thu,8:20PM,0,-4.9%,1.5,8,9.5,1.3999999999999995,-1.92,-0.41999999999999993,9.92,"[[5.5, 3.5], [0.5, -2.0]]",0,
2020,BAL,PIT,8,Sun,1:00PM,1,22.2%,-4.0,0,-4.0,5.099999999999998,3.34,-0.6600000000000001,-3.34,"[[0.5, -2.0], [-5.0, -7.0]]",0,
2020,BUF,NE,8,Sun,1:00PM,1,3.9%,-4.5,0,-4.5,13.9,5.24,0.7400000000000002,-5.24,"[[-1.5, -3.5], [-6.5, -9.0]]",0,
2020,CAR,ATL,8,Thu,8:20PM,1,-6.3%,-1.5,-8,-9.5,-1.3999999999999995,1.92,0.41999999999999993,-9.92,"[[2.0, -0.5], [-3.5, -5.5]]",0,
2020,CHI,NO,8,Sun,4:25PM,1,-2.2%,4.0,0,4.0,-20.7,-2.39,1.6099999999999999,2.39,"[[6.0, 4.0], [1.0, -1.5]]",1,CHI
2020,CIN,TEN,8,Sun,1:00PM,1,-19.6%,7.0,0,7.0,-27.700000000000003,-3.98,3.02,3.98,"[[7.5, 5.5], [2.5, 0.5]]",1,CIN
2020,CLE,LV,8,Sun,1:00PM,1,-7.2%,-2.0,0,-2.0,-0.2999999999999998,2.16,0.16000000000000014,-2.16,"[[1.5, -0.5], [-3.5, -6.0]]",0,
2020,DAL,PHI,8,Sun,8:20PM,0,-17.0%,11.0,0,11.0,-10.2,-4.44,6.56,4.44,"[[8.0, 6.0], [3.0, 0.5]]",0,
2020,DEN,LAC,8,Sun,4:05PM,1,-15.8%,3.5,0,3.5,-13.4,-0.74,2.76,0.74,"[[4.5, 2.0], [-1.0, -3.0]]",1,DEN
2020,DET,IND,8,Sun,1:00PM,1,2.5%,3.0,0,3.0,-12.4,-0.52,2.48,0.52,"[[4.0, 2.0], [-1.0, -3.0]]",1,DET
2020,GB,MIN,8,Sun,1:00PM,1,7.9%,-6.5,0,-6.5,9.700000000000001,4.34,-2.16,-4.34,"[[-0.5, -3.0], [-6.0, -8.0]]",1,MIN
2020,IND,DET,8,Sun,1:00PM,0,14.9%,-3.0,0,-3.0,12.4,0.52,-2.48,-0.52,"[[3.0, 1.0], [-2.0, -4.0]]",1,DET
2020,KC,NYJ,8,Sun,1:00PM,1,23.6%,-19.5,0,-19.5,51.8,13.09,-6.41,-13.09,"[[-9.5, -11.5], [-14.5, -17.0]]",0,
2020,LAC,DEN,8,Sun,4:05PM,0,-2.4%,-3.5,0,-3.5,13.4,0.74,-2.76,-0.74,"[[3.0, 1.0], [-2.0, -4.5]]",1,DEN
2020,LAR,MIA,8,Sun,1:00PM,0,13.3%,-3.5,0,-3.5,20.0,2.23,-1.27,-2.23,"[[1.5, -0.5], [-3.5, -6.0]]",1,MIA
2020,LV,CLE,8,Sun,1:00PM,0,-6.9%,2.0,0,2.0,0.2999999999999998,-2.16,-0.16000000000000014,2.16,"[[6.0, 3.5], [0.5, -1.5]]",0,
2020,MIA,LAR,8,Sun,1:00PM,1,-6.7%,3.5,0,3.5,-20.0,-2.23,1.27,2.23,"[[6.0, 3.5], [0.5, -1.5]]",1,MIA
2020,MIN,GB,8,Sun,1:00PM,0,-1.8%,6.5,0,6.5,-9.700000000000001,-4.34,2.16,4.34,"[[8.0, 6.0], [3.0, 0.5]]",1,MIN
2020,NE,BUF,8,Sun,1:00PM,0,-10.0%,4.5,0,4.5,-13.9,-5.24,-0.7400000000000002,5.24,"[[9.0, 6.5], [3.5, 1.5]]",0,
2020,NO,CHI,8,Sun,4:25PM,0,18.5%,-4.0,0,-4.0,20.7,2.39,-1.6099999999999999,-2.39,"[[1.5, -1.0], [-4.0, -6.0]]",1,CHI
2020,NYG,TB,8,Mon,8:15PM,1,-15.8%,12.5,0,12.5,-43.0,-7.51,4.99,7.51,"[[11.0, 9.0], [6.0, 4.0]]",0,
2020,NYJ,KC,8,Sun,1:00PM,0,-28.2%,19.5,0,19.5,-51.8,-13.09,6.41,13.09,"[[17.0, 14.5], [11.5, 9.5]]",0,
2020,PHI,DAL,8,Sun,8:20PM,1,-6.8%,-11.0,0,-11.0,10.2,4.44,-6.56,-4.44,"[[-0.5, -3.0], [-6.0, -8.0]]",0,
2020,PIT,BAL,8,Sun,1:00PM,0,17.1%,4.0,0,4.0,-5.099999999999998,-3.34,0.6600000000000001,3.34,"[[7.0, 5.0], [2.0, -0.5]]",0,
2020,SEA,SF,8,Sun,4:25PM,1,12.4%,-3.0,0,-3.0,0.3000000000000007,2.29,-0.71,-2.29,"[[1.5, -1.0], [-4.0, -6.0]]",0,
2020,SF,SEA,8,Sun,4:25PM,0,12.1%,3.0,0,3.0,-0.3000000000000007,-2.29,0.71,2.29,"[[6.0, 4.0], [1.0, -1.5]]",0,
2020,TB,NYG,8,Mon,8:15PM,0,27.2%,-12.5,0,-12.5,43.0,7.51,-4.99,-7.51,"[[-4.0, -6.0], [-9.0, -11.0]]",0,
2020,TEN,CIN,8,Sun,1:00PM,0,8.1%,-7.0,0,-7.0,27.700000000000003,3.98,-3.02,-3.98,"[[-0.5, -2.5], [-5.5, -7.5]]",1,CIN
