Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
ARI,2,2006,7.0,48.0,-11,-4.0,-1,0,0,0,SEA,100.0,63.0,92.0,61.0,8.0,68.0,69.0,97.0,44.0,40.0,11.0,67.0,26.0,64.0,90.0,9.0,1,0,0,100.0,56.0,44.0,33.0,32.0,29.0,95.0,95.0,65.0,49.0,55.0,36.0,69.0,38.0,60.0,45.0,15.0,55.0,53.0,50.0,33.0,44.0,29.0,95.0,49.0,36.0
ATL,2,2006,-4.5,36.0,11,6.5,1,1,0,0,TAM,100.0,76.0,100.0,65.0,78.0,30.0,36.0,87.0,92.0,30.0,44.0,89.0,100.0,83.0,34.0,60.0,0,0,0,0.0,0.0,67.0,11.0,0.0,0.0,78.0,66.0,0.0,28.0,36.0,53.0,8.0,4.0,61.0,47.0,27.0,55.0,18.0,80.0,11.0,67.0,0.0,66.0,28.0,53.0
BAL,2,2006,-13.0,34.0,22,9.0,1,1,0,0,OAK,100.0,100.0,92.0,39.0,96.0,53.0,45.0,73.0,82.0,20.0,33.0,89.0,34.0,100.0,47.0,72.0,0,0,0,0.0,0.0,0.0,0.0,51.0,27.0,56.0,26.0,30.0,0.0,0.0,75.0,8.0,0.0,43.0,73.0,13.0,42.0,7.0,60.0,0.0,0.0,27.0,26.0,0.0,75.0
BUF,2,2006,6.5,37.0,10,16.5,1,0,0,0,MIA,0.0,46.0,31.0,49.0,52.0,88.0,30.0,51.0,30.0,30.0,33.0,67.0,32.0,31.0,37.0,65.0,1,0,0,0.0,30.0,67.0,33.0,2.0,5.0,60.0,47.0,22.0,74.0,7.0,43.0,8.0,49.0,42.0,91.0,49.0,37.0,34.0,60.0,33.0,67.0,5.0,47.0,74.0,43.0
CAR,2,2006,2.0,37.5,-3,-1.0,-1,0,0,0,MIN,0.0,24.0,0.0,22.0,35.0,70.0,13.0,64.0,8.0,70.0,11.0,56.0,17.0,0.0,40.0,66.0,1,0,0,100.0,56.0,89.0,0.0,11.0,27.0,54.0,66.0,58.0,67.0,53.0,55.0,62.0,48.0,46.0,54.0,73.0,64.0,61.0,50.0,0.0,89.0,27.0,66.0,67.0,55.0
CHI,2,2006,-7.0,32.0,27,20.0,1,1,0,0,DET,100.0,98.0,85.0,69.0,52.0,34.0,33.0,100.0,74.0,30.0,33.0,89.0,37.0,66.0,78.0,55.0,0,0,0,0.0,44.0,67.0,56.0,5.0,5.0,68.0,71.0,45.0,64.0,35.0,51.0,31.0,40.0,62.0,55.0,45.0,85.0,47.0,50.0,56.0,67.0,5.0,71.0,64.0,51.0
CIN,2,2006,-10.5,40.5,17,6.5,1,1,0,0,CLE,100.0,74.0,38.0,39.0,62.0,50.0,36.0,59.0,37.0,30.0,78.0,89.0,40.0,62.0,29.0,50.0,0,0,0,0.0,41.0,44.0,0.0,40.0,26.0,61.0,42.0,25.0,22.0,62.0,52.0,31.0,18.0,56.0,43.0,55.0,31.0,15.0,60.0,0.0,44.0,26.0,42.0,22.0,52.0
CLE,2,2006,10.5,40.5,-17,-6.5,-1,0,0,0,CIN,0.0,41.0,31.0,18.0,56.0,43.0,55.0,31.0,15.0,60.0,0.0,44.0,26.0,42.0,22.0,52.0,1,0,0,100.0,74.0,89.0,78.0,30.0,40.0,46.0,62.0,56.0,29.0,48.0,50.0,38.0,39.0,62.0,50.0,36.0,59.0,37.0,30.0,78.0,89.0,40.0,62.0,29.0,50.0
DAL,2,2006,-7.0,37.0,17,10.0,1,1,0,0,WAS,0.0,37.0,15.0,69.0,56.0,91.0,52.0,51.0,54.0,70.0,11.0,78.0,27.0,77.0,72.0,30.0,0,0,0,0.0,44.0,100.0,11.0,46.0,34.0,89.0,73.0,47.0,45.0,42.0,33.0,38.0,54.0,52.0,46.0,36.0,27.0,39.0,50.0,11.0,100.0,34.0,73.0,45.0,33.0
DEN,2,2006,-11.0,38.0,3,-8.0,-1,1,0,0,KAN,0.0,35.0,31.0,47.0,48.0,0.0,55.0,82.0,35.0,100.0,33.0,56.0,60.0,56.0,21.0,43.0,0,0,0,0.0,26.0,22.0,11.0,54.0,38.0,70.0,60.0,52.0,50.0,44.0,71.0,62.0,38.0,61.0,50.0,41.0,64.0,63.0,70.0,11.0,22.0,38.0,60.0,50.0,71.0
