Season,Game,Week,Day,Time,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick
2020,BUF @ NYJ,7,Sun,1:00PM,1.40%,-10.0,8,-2.0,26.4,3.68,-6.32,4.32,"[[0.0, -2.0], [-5.0, -7.5]]",0,
2020,CAR @ NO,7,Sun,1:00PM,-8.30%,6.5,-3,3.5,-26.3,-7.87,-1.37,4.87,"[[11.5, 9.5], [6.5, 4.0]]",1,NO
2020,CHI @ LAR,7,Mon,8:15PM,-0.70%,6.0,-14,-8.0,-10.899999999999999,-4.59,1.4100000000000001,-9.41,"[[8.5, 6.0], [3.0, 1.0]]",1,CHI
2020,CLE @ CIN,7,Sun,1:00PM,-8.90%,-3.5,3,-0.5,9.9,-0.04,-3.54,3.04,"[[3.5, 1.5], [-1.5, -3.5]]",1,CIN
2020,DAL @ WAS,7,Sun,1:00PM,-12.00%,1.0,-22,-21.0,7.899999999999999,-0.48,0.52,-21.52,"[[4.0, 2.0], [-1.0, -3.0]]",0,
2020,DET @ ATL,7,Sun,1:00PM,0.20%,1.5,1,2.5,3.0,-1.56,-0.06000000000000005,2.56,"[[5.5, 3.0], [0.0, -2.0]]",0,
2020,GB @ HOU,7,Sun,1:00PM,4.70%,-3.0,15,12.0,5.2,-1.08,-4.08,16.08,"[[5.0, 2.5], [-0.5, -2.5]]",0,
2020,JAX @ LAC,7,Sun,4:25PM,-16.10%,7.5,-10,-2.5,-13.700000000000001,-5.2,2.3,-4.8,"[[9.0, 6.5], [3.5, 1.5]]",1,JAX
2020,KC @ DEN,7,Sun,4:25PM,21.90%,-7.0,27,20.0,32.8,5.15,-1.8499999999999996,21.85,"[[-1.5, -3.5], [-6.5, -9.0]]",1,DEN
2020,NYG @ PHI,7,Thu,8:20PM,-15.30%,5.0,-1,4.0,-5.9,-3.51,1.4900000000000002,2.51,"[[7.0, 5.0], [2.0, -0.0]]",1,NYG
2020,PIT @ TEN,7,Sun,1:00PM,16.30%,1.0,3,4.0,8.700000000000001,-0.3,0.7,3.3,"[[4.0, 2.0], [-1.0, -3.5]]",0,
2020,SEA @ ARI,7,Sun,8:20PM,14.00%,-3.5,-3,-6.5,8.0,-0.46,-3.96,-2.54,"[[4.0, 2.0], [-1.0, -3.0]]",0,
2020,SF @ NE,7,Sun,4:25PM,5.40%,3.0,27,30.0,7.6000000000000005,-0.55,2.45,27.55,"[[4.0, 2.0], [-1.0, -3.0]]",1,SF
2020,TB @ LV,7,Sun,4:05PM,23.60%,-4.0,25,21.0,27.8,4.0,0.0,21.0,"[[-0.5, -2.5], [-5.5, -7.5]]",0,
